"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nivell_academic","Nombre"
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","Estudis primaris / certificat d'escolaritat / EGB",749
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","Estudis primaris / certificat d'escolaritat / EGB",2867
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","Estudis primaris / certificat d'escolaritat / EGB",1755
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","Estudis primaris / certificat d'escolaritat / EGB",2817
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","Estudis primaris / certificat d'escolaritat / EGB",3528
2021,1,"Ciutat Vella",1,"el Raval","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",4603
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1488
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1541
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1644
2021,2,"Eixample",5,"el Fort Pienc","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",2866
2021,2,"Eixample",6,"la Sagrada Família","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",4778
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",2614
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",2905
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",4650
2021,2,"Eixample",10,"Sant Antoni","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",3472
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",3944
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",175
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",3790
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1028
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1583
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",2068
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",2705
2021,3,"Sants-Montjuïc",18,"Sants","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",4165
2021,4,"Les Corts",19,"les Corts","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",3651
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1936
2021,4,"Les Corts",21,"Pedralbes","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",733
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",305
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1429
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",822
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1537
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",2683
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1892
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1350
2021,6,"Gràcia",29,"el Coll","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",777
2021,6,"Gràcia",30,"la Salut","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1083
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",3490
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",2888
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",2491
2021,7,"Horta-Guinardó",34,"Can Baró","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",942
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",3771
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",911
2021,7,"Horta-Guinardó",37,"el Carmel","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",4382
2021,7,"Horta-Guinardó",38,"la Teixonera","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1469
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",862
2021,7,"Horta-Guinardó",40,"Montbau","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",550
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",596
2021,7,"Horta-Guinardó",42,"la Clota","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",74
2021,7,"Horta-Guinardó",43,"Horta","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",2981
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",3017
2021,8,"Nou Barris",45,"Porta","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",3438
2021,8,"Nou Barris",46,"el Turó de la Peira","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",2039
2021,8,"Nou Barris",47,"Can Peguera","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",323
2021,8,"Nou Barris",48,"la Guineueta","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1872
2021,8,"Nou Barris",49,"Canyelles","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",997
2021,8,"Nou Barris",50,"les Roquetes","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",2363
2021,8,"Nou Barris",51,"Verdun","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",1807
2021,8,"Nou Barris",52,"la Prosperitat","Dones","Batxillerat elemental / graduat escolar / ESO / FPI",3671
